ノ,の,368,368,408,-1.2384
ナイ,ない,473,473,468,-1.9098
マス,ます,491,491,17,-1.9278
！,！,1318,1318,244,-1.9365
シロ,しろ,608,608,437,-1.9419
イル,いる,919,919,468,-1.9955
ト,と,150,150,282,-2.0045
マシ,まし,501,501,17,-2.0546
ガ,が,299,299,468,-2.0945
ニ,に,329,329,282,-2.1246
ナ,な,12,12,468,-2.1306
ナウ,なう,32,32,468,-2.1306
ナカレ,なかれ,30,30,468,-2.1306
アル,ある,403,403,481,-2.1429
ナイ,ない,482,482,468,-2.1858
イロ,いろ,926,926,437,-2.1861
ナ,な,468,468,287,-2.1939
マセ,ませ,497,497,17,-2.1940
マシ,まし,499,499,17,-2.1953
ナキ,なき,474,474,495,-2.1961
ナシ,なし,475,475,258,-2.1962
デシ,でし,466,466,17,-2.2128
トシテ,として,179,179,356,-2.2150
ク,く,993,993,331,-3.5965
レロ,れろ,874,874,468,-2.2246
レル,れる,870,870,468,-2.2311
、,、,10,10,151,-1.2241
ヨウ,よう,1312,1312,169,-2.2674
ト,と,309,309,282,-2.2765
ウ,う,506,506,133,-2.2789
